Date,timestamp,Temp Out,Hi Temp,Low Temp,Out Hum,Dew Pt.,Wind Speed,Wind Dir,Wind Run,Hi Speed,Hi Dir,Wind Chill,Bar,Rain,Rain Rate,In Temp,In Hum,In Dew,Wind Samp,Arc.Int.,dew_point_outside_high,dew_point_outside_low,minutes_past_midnight,rain_amount_clicks,rain_collector_type,rain_rate_clicks,temperature_outside_F,temperature_wet_bulb,temperature_wet_bulb_high,temperature_wet_bulb_low,wind_chill_high,wind_chill_low,wind_direction_prevailing_degrees,wind_direction_speed_high_degrees
2024-11-01 00:15:00,1730409300,3.166666666666666666666666667,3.166666666666666666666666667,2.944444444444444444444444444,74.0,30.2,1.78,SSE,1.60,4.89,SE,34.6,762.03,0.00,0.00,16.94,33.0,0.90,349,15,30.2,29.8,15,0,inches_0_01,0,37.7,34.8,34.8,34.5,34.6,29.8,157.50,135.00
2024-11-01 00:30:00,1730410200,3.166666666666666666666666667,3.166666666666666666666666667,3.111111111111111111111111111,74.0,30.2,1.78,SSE,1.60,5.33,SSE,34.6,761.87,0.00,0.00,16.94,34.0,1.60,350,15,30.2,30.1,30,0,inches_0_01,0,37.7,34.8,34.8,34.7,34.6,29.8,157.50,157.50
2024-11-01 00:45:00,1730411100,3.055555555555555555555555556,3.166666666666666666666666667,3.055555555555555555555555556,75.0,30.3,1.33,SSE,1.20,4.00,ESE,35.5,761.82,0.00,0.00,16.83,34.0,1.50,351,15,30.5,30.3,45,0,inches_0_01,0,37.5,34.8,34.9,34.8,35.7,31.0,157.50,112.50
2024-11-01 01:00:00,1730412000,3.055555555555555555555555556,3.111111111111111111111111111,3.055555555555555555555555556,76.0,30.6,1.33,SSE,1.20,3.56,SSE,35.5,761.70,0.00,0.00,16.94,34.0,1.60,350,15,30.7,30.6,60,0,inches_0_01,0,37.5,34.9,35.0,34.9,35.6,31.5,157.50,157.50
2024-11-01 01:15:00,1730412900,3.166666666666666666666666667,3.166666666666666666666666667,3.055555555555555555555555556,77.0,31.1,1.33,SSE,1.20,3.56,SE,35.7,761.49,0.00,0.00,17.00,34.0,1.70,351,15,31.1,30.9,75,0,inches_0_01,0,37.7,35.1,35.1,35.0,35.7,31.5,157.50,135.00
2024-11-01 01:30:00,1730413800,3.277777777777777777777777778,3.277777777777777777777777778,3.111111111111111111111111111,78.0,31.7,1.33,SSE,1.20,4.00,SSE,35.9,761.37,0.00,0.00,16.89,34.0,1.60,351,15,31.7,31.4,90,0,inches_0_01,0,37.9,35.4,35.4,35.2,35.9,31.1,157.50,157.50
2024-11-01 01:45:00,1730414700,3.277777777777777777777777778,3.333333333333333333333333333,3.277777777777777777777777778,78.0,31.7,1.33,SSE,1.20,4.00,SE,35.9,761.19,0.00,0.00,17.00,34.0,1.70,349,15,31.8,31.7,105,0,inches_0_01,0,37.9,35.4,35.5,35.4,36.1,31.5,157.50,135.00
2024-11-01 02:00:00,1730415600,3.333333333333333333333333333,3.333333333333333333333333333,3.277777777777777777777777778,79.0,32.1,1.33,SSE,1.20,3.56,SE,36.1,761.03,0.00,0.00,17.00,35.0,2.50,350,15,32.1,32.0,120,0,inches_0_01,0,38.0,35.6,35.6,35.5,36.1,32.0,157.50,135.00
2024-11-01 02:15:00,1730416500,3.277777777777777777777777778,3.333333333333333333333333333,3.222222222222222222222222222,81.0,32.6,1.33,SSE,1.20,3.56,SSE,35.9,760.91,0.00,0.00,16.94,35.0,2.40,351,15,32.7,32.5,135,0,inches_0_01,0,37.9,35.8,35.9,35.7,36.1,31.9,157.50,157.50
2024-11-01 02:30:00,1730417400,3.222222222222222222222222222,3.277777777777777777777777778,3.222222222222222222222222222,82.0,32.8,1.78,SSE,1.60,4.89,SE,34.7,760.68,0.00,0.00,17.00,35.0,2.50,347,15,32.9,32.8,150,0,inches_0_01,0,37.8,35.8,35.9,35.8,34.8,30.4,157.50,135.00
2024-11-01 02:45:00,1730418300,3.222222222222222222222222222,3.222222222222222222222222222,3.166666666666666666666666667,83.0,33.1,1.78,SSE,1.60,4.00,SSE,34.7,760.58,0.00,0.00,17.06,35.0,2.50,346,15,33.1,33.0,165,0,inches_0_01,0,37.8,35.9,35.9,35.8,34.7,31.2,157.50,157.50
2024-11-01 03:00:00,1730419200,3.166666666666666666666666667,3.222222222222222222222222222,3.166666666666666666666666667,84.0,33.3,2.22,SSE,2.00,5.33,SE,33.7,760.35,0.00,0.00,16.94,35.0,2.40,352,15,33.4,33.3,180,0,inches_0_01,0,37.7,35.9,36.0,35.9,33.8,29.9,157.50,135.00
2024-11-01 03:15:00,1730420100,3.055555555555555555555555556,3.166666666666666666666666667,3.055555555555555555555555556,85.0,33.4,1.78,SSE,1.60,4.44,SSE,34.4,760.20,0.00,0.00,17.00,36.0,3.20,349,15,33.6,33.4,195,0,inches_0_01,0,37.5,35.8,36.0,35.8,34.6,30.5,157.50,157.50
2024-11-01 03:30:00,1730421000,2.888888888888888888888888889,3.055555555555555555555555556,2.888888888888888888888888889,86.0,33.4,1.78,SSE,1.60,4.44,SE,34.0,759.87,0.01,0.00,17.06,36.0,3.30,351,15,33.7,33.4,210,1,inches_0_01,0,37.2,35.6,35.9,35.6,34.4,30.1,157.50,135.00
2024-11-01 03:45:00,1730421900,2.777777777777777777777777778,2.888888888888888888888888889,2.777777777777777777777777778,87.0,33.5,0.89,SSE,0.80,3.11,SE,36.4,759.59,0.01,0.04,16.94,36.0,3.10,351,15,33.7,33.5,225,1,inches_0_01,4,37.0,35.5,35.7,35.5,36.6,31.5,157.50,135.00
2024-11-01 04:00:00,1730422800,2.777777777777777777777777778,2.777777777777777777777777778,2.722222222222222222222222222,88.0,33.8,1.33,SSE,1.20,3.56,SSE,34.9,759.38,0.01,0.04,17.06,36.0,3.30,351,15,33.8,33.7,240,1,inches_0_01,4,37.0,35.7,35.7,35.6,34.9,30.8,157.50,157.50
2024-11-01 04:15:00,1730423700,2.666666666666666666666666667,2.777777777777777777777777778,2.666666666666666666666666667,88.0,33.6,1.78,SSE,1.60,4.00,SSE,33.6,759.16,0.01,0.05,17.06,37.0,3.90,351,15,33.8,33.6,255,1,inches_0_01,5,36.8,35.5,35.7,35.5,33.8,30.1,157.50,157.50
